13:37:37.656 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.micode.webapp.MicowebappApplicationTests], using SpringBootContextLoader
13:37:37.672 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.micode.webapp.MicowebappApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
13:37:37.672 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.micode.webapp.MicowebappApplicationTests]: MicowebappApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
13:37:37.781 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.micode.webapp.MicowebappApplication for test class com.micode.webapp.MicowebappApplicationTests
13:37:37.859 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
13:37:37.891 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@55f616cf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1356d4d4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@c03cf28, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1329eff, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6497b078, org.springframework.test.context.transaction.TransactionalTestExecutionListener@41c2284a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@53aad5d5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@46fa7c39, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1fb700ee, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f67eb2a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a668b6e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5f683daf]
13:37:38.132 [main] INFO  c.m.w.MicowebappApplicationTests - Starting MicowebappApplicationTests on NHZD19002 with PID 4460 (started by chennl in C:\workspace\eclipseWorkspace\micowebapp)
13:37:38.132 [main] INFO  c.m.w.MicowebappApplicationTests - No active profile set, falling back to default profiles: default
13:37:39.116 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
13:37:39.272 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 140ms. Found 7 repository interfaces.
13:37:39.819 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$18662442] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:37:40.100 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:37:40.397 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:37:40.475 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
13:37:40.569 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
13:37:40.569 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
13:37:40.756 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
13:37:41.100 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
13:37:42.721 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13:37:44.189 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:37:44.267 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
13:37:44.799 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
13:37:45.189 [main] INFO  c.m.w.MicowebappApplicationTests - Started MicowebappApplicationTests in 7.267 seconds (JVM running for 8.092)
13:37:45.332 [Thread-3] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
13:37:45.332 [Thread-3] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
